user_id,segment
1000,Low-Income Stressed
1001,Middle Balanced
1002,High-Income Stable
1003,Low-Income Stressed
1004,Middle Balanced
1005,Middle Balanced
1006,High-Income Stable
1007,Middle Balanced
1009,Low-Income Stressed
1010,Low-Income Stressed
1011,Middle Balanced
1012,Middle Balanced
1013,Middle Balanced
1014,High-Income Stable
1015,High-Income Stable
1016,Middle Balanced
1017,Middle Balanced
1018,Low-Income Stressed
1019,Low-Income Stressed
1020,High-Income Stable
1021,Middle Balanced
1023,High-Income Stable
1024,Middle Balanced
1025,Low-Income Stressed
1026,Low-Income Stressed
1027,Middle Balanced
1028,Low-Income Stressed
1029,Middle Balanced
1030,Low-Income Stressed
1031,Low-Income Stressed
1032,Middle Balanced
1033,High-Income Stable
1034,Low-Income Stressed
1035,Low-Income Stressed
1036,Middle Balanced
1037,Low-Income Stressed
1038,Low-Income Stressed
1039,Low-Income Stressed
1040,High-Income Stable
1041,Middle Balanced
1042,Low-Income Stressed
1043,Low-Income Stressed
1044,Low-Income Stressed
1045,High-Income Stable
1046,Middle Balanced
1047,Low-Income Stressed
1048,Low-Income Stressed
1050,Low-Income Stressed
1051,Middle Balanced
1052,Low-Income Stressed
1053,Low-Income Stressed
1054,Middle Balanced
1055,Low-Income Stressed
1056,Low-Income Stressed
1057,Middle Balanced
1058,Low-Income Stressed
1059,Low-Income Stressed
1060,Middle Balanced
1061,Middle Balanced
1063,Low-Income Stressed
1064,Low-Income Stressed
1065,Low-Income Stressed
1066,Middle Balanced
1067,High-Income Stable
1068,High-Income Stable
1069,Middle Balanced
1070,High-Income Stable
1071,High-Income Stable
1072,Low-Income Stressed
1073,High-Income Stable
1074,Low-Income Stressed
1075,Low-Income Stressed
1076,Low-Income Stressed
1077,Low-Income Stressed
1078,High-Income Stable
1079,Middle Balanced
1080,Low-Income Stressed
1081,Middle Balanced
1082,Low-Income Stressed
1083,Low-Income Stressed
1084,Middle Balanced
1085,Middle Balanced
1086,High-Income Stable
1087,High-Income Stable
1088,Middle Balanced
1089,Low-Income Stressed
1090,Low-Income Stressed
1091,Middle Balanced
1092,Low-Income Stressed
1094,Low-Income Stressed
1095,Low-Income Stressed
1096,Low-Income Stressed
1097,Low-Income Stressed
1098,Middle Balanced
1099,Middle Balanced
1100,Middle Balanced
1101,Middle Balanced
1102,Low-Income Stressed
1103,Low-Income Stressed
1104,Middle Balanced
1105,High-Income Stable
1106,Middle Balanced
1107,High-Income Stable
1108,Low-Income Stressed
1109,Low-Income Stressed
1111,Low-Income Stressed
1112,Low-Income Stressed
1113,Low-Income Stressed
1114,Low-Income Stressed
1115,High-Income Stable
1116,Low-Income Stressed
1117,Low-Income Stressed
1118,Low-Income Stressed
1119,Low-Income Stressed
1120,Low-Income Stressed
1121,Middle Balanced
1122,Low-Income Stressed
1123,High-Income Stable
1124,High-Income Stable
1125,High-Income Stable
1126,High-Income Stable
1127,High-Income Stable
1128,Low-Income Stressed
1129,Middle Balanced
1131,High-Income Stable
1132,Middle Balanced
1133,Middle Balanced
1134,High-Income Stable
1136,Middle Balanced
1137,Low-Income Stressed
1138,Middle Balanced
1140,Low-Income Stressed
1141,Low-Income Stressed
1142,Low-Income Stressed
1144,Middle Balanced
1145,Middle Balanced
1146,Low-Income Stressed
1147,Middle Balanced
1148,High-Income Stable
1149,Middle Balanced
1150,Middle Balanced
1151,High-Income Stable
1152,Low-Income Stressed
1153,Low-Income Stressed
1154,Low-Income Stressed
1155,Low-Income Stressed
1156,Low-Income Stressed
1157,Low-Income Stressed
1158,Low-Income Stressed
1159,Middle Balanced
1160,High-Income Stable
1161,Middle Balanced
1163,Low-Income Stressed
1164,Low-Income Stressed
1165,Low-Income Stressed
1166,Low-Income Stressed
1167,Low-Income Stressed
1168,Low-Income Stressed
1169,Middle Balanced
1170,Middle Balanced
1171,Low-Income Stressed
1172,Middle Balanced
1173,High-Income Stable
1175,High-Income Stable
1176,Low-Income Stressed
1177,Low-Income Stressed
1178,Middle Balanced
1179,High-Income Stable
1180,Middle Balanced
1181,Low-Income Stressed
1182,Middle Balanced
1183,Low-Income Stressed
1184,Middle Balanced
1186,Middle Balanced
1187,Middle Balanced
1189,Low-Income Stressed
1190,Middle Balanced
1191,High-Income Stable
1192,Low-Income Stressed
1193,Middle Balanced
1194,Middle Balanced
1195,Middle Balanced
1196,Low-Income Stressed
1197,High-Income Stable
1198,Low-Income Stressed
1199,Low-Income Stressed
1200,Low-Income Stressed
1201,Low-Income Stressed
1202,High-Income Stable
1203,Low-Income Stressed
1204,Low-Income Stressed
1205,Middle Balanced
1206,Low-Income Stressed
1207,Low-Income Stressed
1208,High-Income Stable
1209,Low-Income Stressed
1210,Low-Income Stressed
1211,Low-Income Stressed
1212,Low-Income Stressed
1213,Low-Income Stressed
1214,Low-Income Stressed
1215,Low-Income Stressed
1216,Low-Income Stressed
1217,Middle Balanced
1218,Low-Income Stressed
1219,High-Income Stable
1220,Low-Income Stressed
1221,Low-Income Stressed
1222,Low-Income Stressed
1223,Low-Income Stressed
1224,Low-Income Stressed
1226,Low-Income Stressed
1227,Low-Income Stressed
1228,Low-Income Stressed
1229,Middle Balanced
1230,Low-Income Stressed
1231,High-Income Stable
1232,Low-Income Stressed
1234,Middle Balanced
1235,Low-Income Stressed
1236,Middle Balanced
1237,Middle Balanced
1238,Middle Balanced
1239,Low-Income Stressed
1240,Middle Balanced
1241,Low-Income Stressed
1242,Middle Balanced
1243,Low-Income Stressed
1244,Low-Income Stressed
1245,Low-Income Stressed
1246,Low-Income Stressed
1247,Low-Income Stressed
1248,Low-Income Stressed
1249,High-Income Stable
1250,High-Income Stable
1251,Low-Income Stressed
1252,Low-Income Stressed
1253,Middle Balanced
1254,Middle Balanced
1255,Low-Income Stressed
1256,Low-Income Stressed
1258,High-Income Stable
1259,Low-Income Stressed
1260,Low-Income Stressed
1261,Low-Income Stressed
1262,Middle Balanced
1263,Middle Balanced
1264,Low-Income Stressed
1265,Middle Balanced
1266,Low-Income Stressed
1267,Low-Income Stressed
1268,Low-Income Stressed
1269,High-Income Stable
1270,High-Income Stable
1271,High-Income Stable
1272,Low-Income Stressed
1273,Middle Balanced
1274,Low-Income Stressed
1275,High-Income Stable
1276,Middle Balanced
1277,Low-Income Stressed
1278,Middle Balanced
1279,High-Income Stable
1280,Low-Income Stressed
1282,Low-Income Stressed
1283,Middle Balanced
1284,Low-Income Stressed
1285,High-Income Stable
1286,Low-Income Stressed
1287,High-Income Stable
1288,Low-Income Stressed
1289,Middle Balanced
1290,Low-Income Stressed
1291,Middle Balanced
1292,Low-Income Stressed
1293,Middle Balanced
1294,Middle Balanced
1295,High-Income Stable
1296,Middle Balanced
1297,High-Income Stable
1298,Low-Income Stressed
1299,Middle Balanced
1300,Low-Income Stressed
1302,Low-Income Stressed
1303,Middle Balanced
1304,Low-Income Stressed
1305,Low-Income Stressed
1306,Low-Income Stressed
1308,Middle Balanced
1309,Low-Income Stressed
1310,Low-Income Stressed
1311,Middle Balanced
1312,Low-Income Stressed
1313,Low-Income Stressed
1314,Low-Income Stressed
1315,Low-Income Stressed
1316,Middle Balanced
1317,Low-Income Stressed
1318,Low-Income Stressed
1319,High-Income Stable
1320,Low-Income Stressed
1321,Low-Income Stressed
1322,Low-Income Stressed
1323,Low-Income Stressed
1324,Low-Income Stressed
1325,High-Income Stable
1326,Middle Balanced
1327,Middle Balanced
1328,High-Income Stable
1329,Low-Income Stressed
1330,Low-Income Stressed
1331,Low-Income Stressed
1332,Middle Balanced
1333,Low-Income Stressed
1334,Low-Income Stressed
1335,Low-Income Stressed
1336,High-Income Stable
1337,Low-Income Stressed
1338,Low-Income Stressed
1339,Low-Income Stressed
1340,High-Income Stable
1341,Low-Income Stressed
1343,Middle Balanced
1344,Low-Income Stressed
1345,High-Income Stable
1346,Low-Income Stressed
1347,Low-Income Stressed
1348,High-Income Stable
1349,Low-Income Stressed
1350,Low-Income Stressed
1351,Low-Income Stressed
1352,Low-Income Stressed
1353,High-Income Stable
1354,Low-Income Stressed
1355,Low-Income Stressed
1357,Low-Income Stressed
1358,Low-Income Stressed
1359,Middle Balanced
1361,Middle Balanced
1362,Middle Balanced
1363,Middle Balanced
1367,High-Income Stable
1368,Low-Income Stressed
1369,Middle Balanced
1370,Low-Income Stressed
1371,Low-Income Stressed
1372,Low-Income Stressed
1373,High-Income Stable
1374,Low-Income Stressed
1375,Middle Balanced
1376,Low-Income Stressed
1377,High-Income Stable
1378,High-Income Stable
1379,High-Income Stable
1380,High-Income Stable
1382,Middle Balanced
1383,Low-Income Stressed
1384,Low-Income Stressed
1385,High-Income Stable
1386,Middle Balanced
1387,High-Income Stable
1388,Low-Income Stressed
1389,Low-Income Stressed
1390,Low-Income Stressed
1391,Low-Income Stressed
1392,Middle Balanced
1393,Low-Income Stressed
1394,Low-Income Stressed
1395,Low-Income Stressed
1396,Middle Balanced
1397,High-Income Stable
1398,Low-Income Stressed
1399,Low-Income Stressed
1400,Low-Income Stressed
1401,Middle Balanced
1402,Low-Income Stressed
1403,Low-Income Stressed
1404,Low-Income Stressed
1406,Low-Income Stressed
1407,Low-Income Stressed
1408,Low-Income Stressed
1409,Low-Income Stressed
1410,Low-Income Stressed
1411,Middle Balanced
1412,High-Income Stable
1413,Middle Balanced
1414,High-Income Stable
1415,Middle Balanced
1416,Low-Income Stressed
1417,High-Income Stable
1418,Low-Income Stressed
1419,Low-Income Stressed
1420,Low-Income Stressed
1421,Low-Income Stressed
1422,Middle Balanced
1423,Middle Balanced
1424,Low-Income Stressed
1425,Middle Balanced
1426,Low-Income Stressed
1427,Middle Balanced
1428,Low-Income Stressed
1431,Middle Balanced
1432,Low-Income Stressed
1433,Low-Income Stressed
1434,Middle Balanced
1435,Low-Income Stressed
1436,Middle Balanced
1437,High-Income Stable
1438,Low-Income Stressed
1439,Middle Balanced
1440,High-Income Stable
1442,Low-Income Stressed
1443,Low-Income Stressed
1444,Low-Income Stressed
1445,High-Income Stable
1446,Low-Income Stressed
1447,Low-Income Stressed
1448,Low-Income Stressed
1449,Low-Income Stressed
1450,High-Income Stable
1451,High-Income Stable
1452,Low-Income Stressed
1453,Middle Balanced
1454,Middle Balanced
1455,Low-Income Stressed
1456,Middle Balanced
1457,Middle Balanced
1458,Low-Income Stressed
1459,Low-Income Stressed
1460,High-Income Stable
1461,Low-Income Stressed
1462,High-Income Stable
1463,High-Income Stable
1464,Low-Income Stressed
1465,Low-Income Stressed
1466,Low-Income Stressed
1467,Middle Balanced
1468,Low-Income Stressed
1469,Low-Income Stressed
1470,Middle Balanced
1471,Middle Balanced
1472,Low-Income Stressed
1473,Low-Income Stressed
1474,Middle Balanced
1475,High-Income Stable
1476,Middle Balanced
1477,Low-Income Stressed
1478,Middle Balanced
1479,Low-Income Stressed
1480,Middle Balanced
1481,Low-Income Stressed
1482,High-Income Stable
1483,Low-Income Stressed
1484,Low-Income Stressed
1485,Middle Balanced
1486,Middle Balanced
1487,Middle Balanced
1488,Low-Income Stressed
1489,Low-Income Stressed
1490,Low-Income Stressed
1491,Low-Income Stressed
1492,Low-Income Stressed
1493,High-Income Stable
1494,Low-Income Stressed
1495,Low-Income Stressed
1496,Middle Balanced
1497,High-Income Stable
1498,Low-Income Stressed
1499,Low-Income Stressed
1500,Middle Balanced
1501,High-Income Stable
1502,Low-Income Stressed
1503,Low-Income Stressed
1504,Low-Income Stressed
1505,Low-Income Stressed
1506,High-Income Stable
1507,Middle Balanced
1509,Low-Income Stressed
1510,Low-Income Stressed
1511,Low-Income Stressed
1512,High-Income Stable
1513,Low-Income Stressed
1514,Low-Income Stressed
1515,Low-Income Stressed
1516,Low-Income Stressed
1517,Middle Balanced
1518,Low-Income Stressed
1519,High-Income Stable
1520,High-Income Stable
1521,High-Income Stable
1522,Middle Balanced
1523,Middle Balanced
1524,Middle Balanced
1525,Middle Balanced
1526,Low-Income Stressed
1527,Low-Income Stressed
1528,High-Income Stable
1529,High-Income Stable
1530,Low-Income Stressed
1531,High-Income Stable
1532,Low-Income Stressed
1533,High-Income Stable
1534,Low-Income Stressed
1535,High-Income Stable
1536,Low-Income Stressed
1537,High-Income Stable
1538,Low-Income Stressed
1539,Low-Income Stressed
1540,Low-Income Stressed
1541,Middle Balanced
1542,Low-Income Stressed
1543,Low-Income Stressed
1544,Low-Income Stressed
1545,High-Income Stable
1546,Low-Income Stressed
1547,Low-Income Stressed
1548,Middle Balanced
1549,Low-Income Stressed
1550,Low-Income Stressed
1551,Middle Balanced
1552,Middle Balanced
1553,Low-Income Stressed
1554,Low-Income Stressed
1555,Low-Income Stressed
1556,Low-Income Stressed
1557,Middle Balanced
1560,Low-Income Stressed
1561,Low-Income Stressed
1562,Middle Balanced
1563,High-Income Stable
1565,High-Income Stable
1566,Low-Income Stressed
1567,Low-Income Stressed
1568,High-Income Stable
1570,Low-Income Stressed
1571,Low-Income Stressed
1572,Low-Income Stressed
1573,Middle Balanced
1574,Low-Income Stressed
1575,Low-Income Stressed
1577,High-Income Stable
1578,Middle Balanced
1579,High-Income Stable
1580,Low-Income Stressed
1581,Low-Income Stressed
1582,Middle Balanced
1583,High-Income Stable
1584,Middle Balanced
1585,Low-Income Stressed
1586,Low-Income Stressed
1587,Low-Income Stressed
1588,Low-Income Stressed
1589,Middle Balanced
1591,Low-Income Stressed
1592,Middle Balanced
1593,Middle Balanced
1594,Middle Balanced
1595,Low-Income Stressed
1596,Low-Income Stressed
1597,Middle Balanced
1598,Low-Income Stressed
1599,Low-Income Stressed
1600,Low-Income Stressed
1601,High-Income Stable
1602,Middle Balanced
1603,Low-Income Stressed
1604,Middle Balanced
1605,Low-Income Stressed
1606,Low-Income Stressed
1607,Low-Income Stressed
1608,Low-Income Stressed
1609,Low-Income Stressed
1610,Middle Balanced
1611,Low-Income Stressed
1612,Low-Income Stressed
1613,High-Income Stable
1614,Middle Balanced
1615,High-Income Stable
1616,Low-Income Stressed
1617,Low-Income Stressed
1618,Middle Balanced
1619,Low-Income Stressed
1620,Low-Income Stressed
1621,Low-Income Stressed
1622,Low-Income Stressed
1623,High-Income Stable
1624,High-Income Stable
1625,High-Income Stable
1626,Low-Income Stressed
1627,Low-Income Stressed
1628,Low-Income Stressed
1629,Low-Income Stressed
1631,Low-Income Stressed
1632,Low-Income Stressed
1633,Low-Income Stressed
1634,Low-Income Stressed
1635,Low-Income Stressed
1636,Low-Income Stressed
1637,Low-Income Stressed
1638,Low-Income Stressed
1639,Middle Balanced
1640,Middle Balanced
1641,Low-Income Stressed
1642,Low-Income Stressed
1643,Middle Balanced
1645,Low-Income Stressed
1646,Middle Balanced
1647,Low-Income Stressed
1649,Low-Income Stressed
1650,Low-Income Stressed
1651,Middle Balanced
1652,Low-Income Stressed
1653,Low-Income Stressed
1654,Low-Income Stressed
1655,Low-Income Stressed
1656,Low-Income Stressed
1657,Low-Income Stressed
1658,High-Income Stable
1659,Low-Income Stressed
1660,Middle Balanced
1661,Low-Income Stressed
1662,Low-Income Stressed
1663,Low-Income Stressed
1664,Middle Balanced
1665,Low-Income Stressed
1666,Middle Balanced
1667,High-Income Stable
1668,Low-Income Stressed
1669,Low-Income Stressed
1670,Low-Income Stressed
1671,Low-Income Stressed
1672,Low-Income Stressed
1673,Low-Income Stressed
1674,Low-Income Stressed
1675,Low-Income Stressed
1676,Middle Balanced
1677,Low-Income Stressed
1678,Low-Income Stressed
1679,Low-Income Stressed
1680,High-Income Stable
1681,High-Income Stable
1682,Middle Balanced
1683,Low-Income Stressed
1684,Middle Balanced
1685,Low-Income Stressed
1687,Middle Balanced
1688,Low-Income Stressed
1689,Low-Income Stressed
1690,Low-Income Stressed
1692,Low-Income Stressed
1693,Low-Income Stressed
1694,High-Income Stable
1695,Low-Income Stressed
1696,Low-Income Stressed
1697,High-Income Stable
1698,Low-Income Stressed
1699,Low-Income Stressed
1700,Low-Income Stressed
1701,Low-Income Stressed
1702,High-Income Stable
1703,Low-Income Stressed
1704,Low-Income Stressed
1705,Middle Balanced
1706,Middle Balanced
1707,Low-Income Stressed
1708,High-Income Stable
1709,Low-Income Stressed
1710,Low-Income Stressed
1711,Low-Income Stressed
1713,Low-Income Stressed
1714,Low-Income Stressed
1715,Low-Income Stressed
1716,Low-Income Stressed
1717,High-Income Stable
1718,Low-Income Stressed
1719,Low-Income Stressed
1720,Low-Income Stressed
1721,Low-Income Stressed
1722,Low-Income Stressed
1723,Low-Income Stressed
1724,Middle Balanced
1725,Middle Balanced
1726,High-Income Stable
1727,Low-Income Stressed
1728,Low-Income Stressed
1729,Low-Income Stressed
1730,Low-Income Stressed
1731,Middle Balanced
1732,Low-Income Stressed
1733,High-Income Stable
1734,Middle Balanced
1735,Middle Balanced
1736,Middle Balanced
1737,Low-Income Stressed
1738,Low-Income Stressed
1739,High-Income Stable
1740,Middle Balanced
1741,Middle Balanced
1742,High-Income Stable
1743,High-Income Stable
1744,Low-Income Stressed
1745,Low-Income Stressed
1746,Low-Income Stressed
1747,Middle Balanced
1748,Low-Income Stressed
1749,Low-Income Stressed
1750,High-Income Stable
1751,Low-Income Stressed
1752,Middle Balanced
1753,Low-Income Stressed
1754,Middle Balanced
1755,Low-Income Stressed
1756,Low-Income Stressed
1757,Middle Balanced
1758,Middle Balanced
1759,Low-Income Stressed
1760,Middle Balanced
1762,High-Income Stable
1763,Low-Income Stressed
1764,Low-Income Stressed
1767,High-Income Stable
1768,Middle Balanced
1769,Middle Balanced
1770,Low-Income Stressed
1771,Middle Balanced
1772,Middle Balanced
1773,Low-Income Stressed
1774,High-Income Stable
1775,Middle Balanced
1776,Low-Income Stressed
1777,Middle Balanced
1778,Middle Balanced
1779,Low-Income Stressed
1780,High-Income Stable
1781,Middle Balanced
1782,Middle Balanced
1783,Low-Income Stressed
1784,High-Income Stable
1785,Low-Income Stressed
1787,Middle Balanced
1788,Low-Income Stressed
1789,Low-Income Stressed
1790,Low-Income Stressed
1791,Low-Income Stressed
1793,Low-Income Stressed
1794,Middle Balanced
1795,Low-Income Stressed
1796,Middle Balanced
1797,Middle Balanced
1798,Middle Balanced
1799,Low-Income Stressed
1800,Low-Income Stressed
1801,High-Income Stable
1802,Low-Income Stressed
1803,Middle Balanced
1804,Low-Income Stressed
1805,High-Income Stable
1806,Middle Balanced
1807,High-Income Stable
1808,Low-Income Stressed
1809,Low-Income Stressed
1810,Low-Income Stressed
1811,Low-Income Stressed
1812,Low-Income Stressed
1813,Low-Income Stressed
1814,Low-Income Stressed
1816,High-Income Stable
1817,Middle Balanced
1818,Low-Income Stressed
1819,Low-Income Stressed
1821,Middle Balanced
1822,Low-Income Stressed
1823,Low-Income Stressed
1824,Middle Balanced
1825,Low-Income Stressed
1826,Low-Income Stressed
1827,High-Income Stable
1828,High-Income Stable
1829,Low-Income Stressed
1830,High-Income Stable
1831,Low-Income Stressed
1832,Middle Balanced
1833,Middle Balanced
1834,High-Income Stable
1835,Low-Income Stressed
1836,Middle Balanced
1837,Low-Income Stressed
1838,Low-Income Stressed
1839,Low-Income Stressed
1840,High-Income Stable
1841,High-Income Stable
1842,Low-Income Stressed
1843,Low-Income Stressed
1844,High-Income Stable
1845,Low-Income Stressed
1846,Low-Income Stressed
1847,Middle Balanced
1848,Low-Income Stressed
1849,Low-Income Stressed
1851,Low-Income Stressed
1852,Low-Income Stressed
1853,Middle Balanced
1854,Low-Income Stressed
1855,Low-Income Stressed
1856,Low-Income Stressed
1857,High-Income Stable
1858,Middle Balanced
1859,High-Income Stable
1860,Low-Income Stressed
1861,Low-Income Stressed
1862,Low-Income Stressed
1863,Low-Income Stressed
1864,Middle Balanced
1865,High-Income Stable
1866,Middle Balanced
1867,Low-Income Stressed
1868,High-Income Stable
1869,Low-Income Stressed
1870,Middle Balanced
1871,Middle Balanced
1872,Low-Income Stressed
1873,High-Income Stable
1874,Low-Income Stressed
1875,Middle Balanced
1876,Low-Income Stressed
1877,Low-Income Stressed
1878,Middle Balanced
1879,Low-Income Stressed
1880,Low-Income Stressed
1881,High-Income Stable
1882,Low-Income Stressed
1883,Low-Income Stressed
1884,Low-Income Stressed
1885,Middle Balanced
1886,Low-Income Stressed
1888,Low-Income Stressed
1889,Low-Income Stressed
1890,Low-Income Stressed
1891,Low-Income Stressed
1892,Middle Balanced
1893,Middle Balanced
1894,High-Income Stable
1895,Middle Balanced
1896,High-Income Stable
1897,Low-Income Stressed
1898,Low-Income Stressed
1899,Low-Income Stressed
1900,Middle Balanced
1901,Low-Income Stressed
1902,Low-Income Stressed
1903,High-Income Stable
1904,Low-Income Stressed
1905,High-Income Stable
1906,Low-Income Stressed
1907,Low-Income Stressed
1908,Middle Balanced
1909,High-Income Stable
1910,Low-Income Stressed
1911,Low-Income Stressed
1912,Low-Income Stressed
1913,Middle Balanced
1914,High-Income Stable
1915,Low-Income Stressed
1916,Middle Balanced
1917,Low-Income Stressed
1918,Low-Income Stressed
1919,Low-Income Stressed
1920,Middle Balanced
1921,Low-Income Stressed
1922,Low-Income Stressed
1923,High-Income Stable
1924,High-Income Stable
1925,Low-Income Stressed
1926,Low-Income Stressed
1927,High-Income Stable
1928,Low-Income Stressed
1929,Low-Income Stressed
1930,Middle Balanced
1931,Low-Income Stressed
1932,Middle Balanced
1933,Low-Income Stressed
1934,Low-Income Stressed
1936,Low-Income Stressed
1937,Middle Balanced
1938,Low-Income Stressed
1939,Low-Income Stressed
1940,Low-Income Stressed
1941,Low-Income Stressed
1942,Low-Income Stressed
1943,Low-Income Stressed
1944,Low-Income Stressed
1945,Middle Balanced
1946,Middle Balanced
1947,Middle Balanced
1948,Low-Income Stressed
1949,Low-Income Stressed
1950,Low-Income Stressed
1951,Low-Income Stressed
1953,Low-Income Stressed
1954,Middle Balanced
1955,Low-Income Stressed
1956,High-Income Stable
1957,Low-Income Stressed
1958,Low-Income Stressed
1959,Low-Income Stressed
1960,Low-Income Stressed
1961,High-Income Stable
1962,Middle Balanced
1963,Low-Income Stressed
1964,Low-Income Stressed
1965,High-Income Stable
1966,Low-Income Stressed
1967,Middle Balanced
1968,Low-Income Stressed
1969,Low-Income Stressed
1970,High-Income Stable
1971,Low-Income Stressed
1972,Middle Balanced
1973,Low-Income Stressed
1974,Low-Income Stressed
1975,Low-Income Stressed
1976,Low-Income Stressed
1977,Low-Income Stressed
1978,Low-Income Stressed
1979,High-Income Stable
1980,Low-Income Stressed
1981,Middle Balanced
1982,Middle Balanced
1983,Middle Balanced
1984,High-Income Stable
1985,Low-Income Stressed
1986,Low-Income Stressed
1987,Middle Balanced
1988,Low-Income Stressed
1989,Middle Balanced
1990,Middle Balanced
1991,Middle Balanced
1992,Low-Income Stressed
1993,Low-Income Stressed
1994,Low-Income Stressed
1995,Low-Income Stressed
1997,Low-Income Stressed
1998,Middle Balanced
1999,Low-Income Stressed
